year,total,MAG,MAG%,OA,OA%,CR,CR%,MAG+OA,MAG+OA%,MAG+CR,MAG+CR%,OA+CR,OA+CR%,Comb,Comb%
1995,1265,1078,0.8521739130434782,951,0.7517786561264822,893,0.7059288537549407,1108,0.8758893280632412,1095,0.8656126482213439,989,0.7818181818181819,1113,0.8798418972332016
1996,1643,1394,0.8484479610468655,1282,0.780279975654291,1196,0.7279367011564212,1423,0.8660986001217286,1408,0.8569689592209373,1317,0.8015824710894704,1431,0.8709677419354839
1997,1857,1566,0.8432956381260097,1411,0.7598276790522348,1332,0.7172859450726979,1621,0.8729133010231557,1582,0.8519116855142703,1467,0.789983844911147,1627,0.8761443187937533
1998,2608,2175,0.8339723926380368,1967,0.754217791411043,1894,0.7262269938650306,2250,0.8627300613496932,2199,0.8431748466257669,2050,0.786042944785276,2259,0.866180981595092
1999,3375,2810,0.8325925925925926,2478,0.7342222222222222,2336,0.6921481481481482,2883,0.8542222222222222,2842,0.8420740740740741,2584,0.7656296296296297,2902,0.8598518518518519
2000,4294,3617,0.8423381462505822,3107,0.7235677689799721,2983,0.6946902654867256,3714,0.8649278062412669,3666,0.8537494177922683,3244,0.7554727526781556,3735,0.8698183511877038
2001,14869,13009,0.874907525724662,11830,0.7956150379985204,11314,0.7609119644898783,13374,0.8994552424507364,13181,0.8864752168942094,12326,0.8289730311386105,13428,0.9030869594458268
2002,24545,21395,0.8716642900794459,19540,0.7960888164595641,18474,0.7526583825626401,22013,0.8968425341210022,21635,0.8814422489305358,20344,0.828844978610715,22118,0.9011203911183541
2003,37080,32158,0.867259978425027,29191,0.7872437971952535,27562,0.743311758360302,33049,0.8912891046386192,32520,0.8770226537216829,30343,0.818311758360302,33217,0.8958198489751887
2004,44279,38489,0.8692382393459653,35122,0.7931976783576865,33075,0.7469680887102238,39722,0.8970843966665913,38967,0.8800334244224124,36395,0.821947198446216,39901,0.9011269450529596
2005,49502,43135,0.8713789341844774,39718,0.8023514201446407,37367,0.7548583895600178,44442,0.897781907801705,43641,0.8816007434043069,41186,0.8320067876045413,44673,0.902448385923801
2006,72121,62412,0.8653790158206348,57663,0.7995313431594127,54470,0.755258523869608,64593,0.8956198610668182,63198,0.8762773672023405,59990,0.8317965641075415,64942,0.9004589509296876
2007,94585,80951,0.8558545223872707,74616,0.7888777290268013,70379,0.7440820426071787,83768,0.88563725749326,82072,0.8677062959243009,77513,0.8195062642067981,84317,0.8914415605011365
2008,122365,103201,0.8433865893024967,94801,0.7747395088464839,88568,0.7238017406938259,107080,0.8750868303845054,104570,0.8545744289625301,98273,0.8031136354349692,107748,0.8805459077350549
2009,136037,115251,0.8472033343869683,105740,0.7772885317964966,99458,0.7311099186250799,119380,0.877555370965252,116683,0.85772988231143,109642,0.8059719047023971,120125,0.8830318222248359
2010,151624,129056,0.8511581280008442,118052,0.7785838653511318,111943,0.7382934100142458,133345,0.8794452065636047,130367,0.8598045164353928,123049,0.8115403893842663,133901,0.8831121722154804
2011,176269,149335,0.8471994508393421,137098,0.7777771474280787,130402,0.7397897531613613,154439,0.8761551946173178,150892,0.8560325411728664,143166,0.8122018051954683,155182,0.8803703430552168
2012,213449,178222,0.8349629185426026,164218,0.7693547404766479,154621,0.7243931805724084,185051,0.866956509517496,180453,0.8454150640199767,170945,0.8008704655444626,186041,0.8715946197920815
2013,232086,200448,0.8636798428168868,185253,0.7982084227398465,177409,0.76441060641314,207037,0.892070180881225,202706,0.8734089949415303,193510,0.8337857518333721,208065,0.8964995734339857
2014,247926,217795,0.878467768608375,200801,0.8099231222219533,194518,0.784580883005413,224435,0.9052499536151917,220078,0.887676161435267,210872,0.8505441139694909,225458,0.9093761848293442
2015,262031,232483,0.8872347165030092,212195,0.8098087630852838,208735,0.7966042185848239,239143,0.9126515564952239,235019,0.8969129606802249,225444,0.8603714827634898,240226,0.9167846552507146
2016,266138,236134,0.8872614959156527,211814,0.795880332759696,213864,0.8035831035026941,242422,0.9108883361263705,239045,0.8981994303707099,228850,0.8598922363585809,243735,0.9158218668510322
2017,157263,133472,0.8487183889408189,115949,0.7372935782733383,118761,0.7551744529863986,138039,0.8777589134125636,135274,0.8601769011146932,128248,0.8155001494312076,138893,0.883189307084311
2018,33000,26005,0.7880303030303031,22875,0.6931818181818182,22713,0.6882727272727273,27332,0.8282424242424242,26455,0.8016666666666666,24931,0.7554848484848485,27601,0.8363939393939394
